Latitude,Longitude,DepthMeters,Magnitude
43.0069,-76.3628,11200,1.9
42.5283,-73.852,11900,2.2
37.9303,-81.3435,2300,2.5
37.8434,-81.7465,4100,2.8
37.9965,-81.3481,2700,3.1
38.0759,-81.9874,8300,2.6
38.1228,-82.0242,6500,2.8
37.1756,-81.5974,6000,2.5
37.727,-82.0382,7400,2.5
37.8617,-81.6628,11300,2.3
37.9389,-81.3595,5400,2.7
38.0621,-81.6578,9100,2.5
41.4976,-77.3517,7000,2.3
39.718,-75.441,14000,3.8
43.9,-74.412,1000,3.4
38.917,-77.78,2000,2.5
41.004,-75.955,3000,3
37.382,-80.419,8000,3.6
41.571,-73.94,2000,3.3
39.095,-81.593,11000,3.4
43.325,-76.966,7000,2.6
37.8876,-81.2202,11700,2.4
40.8347,-78.6593,5900,2
42.503,-73.852,10700,2.2
40.3757,-74.6601,22400,2.2
44.0724,-75.8896,16900,2.3
38.31,-80.9764,15800,2.6
37.3927,-81.2833,5000,2.1
43.007,-76.355,14900,2.2
37.8611,-81.759,5400,2.5
37.8602,-81.7522,3700,2.5
39.512,-77.1912,10800,1.4
38.1168,-81.3519,11900,2.7
37.7252,-82.0389,10600,2.5
43.7411,-74.1111,14000,2.1
38.1291,-80.4586,3300,2.3
37.8865,-81.2449,3900,2.6
37.976,-81.4071,1300,2.5
37.7476,-82.0349,4200,2.7
38.0582,-81.6609,4900,2.5
41.4455,-77.4008,12900,2
41.4608,-77.3542,12300,2.3
42.905,-74.1389,7400,1.9
38.0778,-81.6676,7600,2.7
37.9224,-81.3574,14300,2.4
40.0829,-81.0189,6500,2.4
43.706,-73.249,5600,2.9
40.311,-76.03,7000,2.1
42.6,-74.12,14000,2.6
45.017,-75.58,18000,2.8
45.223,-73.887,18000,2.9
38.0981,-82.0248,5800,2.6
37.848,-81.5219,2600,3
37.8779,-82.1735,2300,2.7
37.9399,-81.3525,7300,2.4
43.0254,-74.6929,11700,2.1
38.0587,-81.6518,3100,2.5
37.8771,-81.2298,9600,2.5
41.4608,-77.3713,11600,2.5
42.9148,-74.1291,4600,1.9
42.9816,-75.1868,14400,2.4
38.1088,-81.9927,11500,2.5
39.5475,-78.9344,13100,2
43.0204,-74.7073,12900,2
38.0803,-81.6653,5800,2.2
38.0827,-81.36,17500,2.5
37.7502,-82.0936,2900,2.7
38.019,-81.3928,17400,2.6
38.0624,-81.6455,15400,2.7
38.0899,-81.3776,12800,2.5
37.7528,-82.0699,700,2.8
39.2902,-77.7949,17800,1.5
37.8452,-82.1089,2000,2.1
43.0241,-74.6937,10700,1.9
39.7696,-79.802,7000,2.1
37.8768,-81.5817,4800,2.1
43.2451,-74.2158,14600,1.7
38.8248,-80.9404,15000,2.6
38.0391,-81.4448,6800,2.4
38.4764,-80.591,300,2.6
37.9987,-81.4161,100,2.2
40.4841,-77.8737,13300,2.3
43.894,-74.636,3000,4
37.9215,-81.9665,1100,2.4
40.998,-74.371,5000,2.4
42.6501,-74.2898,4800,2
42.9962,-76.3421,8600,2
42.9913,-76.0534,12900,1.9
42.9983,-76.0506,16700,2
42.5517,-73.8642,11400,2
43.6394,-73.8189,16300,2.4
37.5058,-82.1755,2500,2.6
37.7556,-82.0993,7000,2.5
37.2152,-81.6793,6100,2.7
37.8092,-81.8087,5300,2.5
37.3903,-82.2271,9900,2.6
38.1141,-82.0543,500,2.3
38.1165,-82.0371,300,2.4
43.1047,-73.8586,16000,1.6
40.6732,-76.2443,14200,2
37.649,-81.9099,5600,2.7
37.956,-81.3413,6500,2.4
40.1968,-80.9572,14900,2.4
37.7423,-82.02,300,2.5
40.8153,-76.2636,100,2.3
37.8678,-82.1678,2000,2.5
38.1164,-81.4357,100,2.3
37.8425,-81.8598,12000,2.6
38.1951,-81.8214,8300,2.3
38.0576,-81.6913,1200,2.5
37.7408,-82.0585,6900,2.5
37.3126,-82.2593,100,2.9
37.7388,-82.0212,200,2.1
